innings_id,match_id,team_id,innings_number,runs,wickets,overs,is_declared
796,53576,27,2,286,10,46.4,0
797,53583,9,1,280,4,31.0,0
798,73848,13,1,136,5,33.4,0
799,73852,6,2,168,10,41.1,0
800,73852,13,1,254,10,49.2,0
801,73859,6,1,171,10,34.3,0
802,73859,13,2,175,3,34.5,0
803,73869,6,1,310,10,85.1,0
804,73869,6,3,338,10,100.4,0
805,73869,13,2,317,10,101.5,0
806,73869,13,4,181,10,71.1,0
807,73876,6,1,172,10,66.2,0
808,73876,6,3,144,10,35.0,0
809,73876,13,2,180,10,37.1,0
810,73876,13,4,139,6,39.4,0
811,78551,2,2,281,5,48.4,0
812,78551,4,1,276,10,50.0,0
813,78558,2,1,399,5,50.0,0
814,78558,4,2,217,10,28.2,0
815,78565,2,2,286,10,49.4,0
816,78565,4,1,352,7,50.0,0
817,82441,2,2,209,8,19.5,0
818,82441,4,1,208,3,20.0,0
819,82448,2,1,235,4,20.0,0
820,82448,4,2,191,9,20.0,0
821,82455,2,1,222,3,20.0,0
822,82455,4,2,225,5,20.0,0
823,82462,2,1,174,9,20.0,0
824,82462,4,2,154,7,20.0,0
825,82465,2,1,160,8,20.0,0
826,82465,4,2,154,8,20.0,0
827,69757,10,2,326,6,48.5,0
828,69757,9,1,325,10,50.0,0
829,69760,10,1,202,10,39.4,0
830,69760,9,2,206,4,32.5,0
831,69764,10,2,191,6,31.4,0
832,69764,9,1,206,9,40.0,0
833,69767,10,2,172,6,18.1,0
834,69767,9,1,171,10,19.3,0
835,69774,10,1,176,7,20.0,0
836,69774,9,2,166,7,20.0,0
837,69781,10,1,222,6,20.0,0
838,69781,9,2,226,3,19.5,0
839,69785,10,2,192,10,15.3,0
840,69785,9,1,267,3,20.0,0
841,69788,10,2,133,6,19.2,0
842,69788,9,1,132,10,19.3,0
843,78997,279,2,367,4,141.0,0
844,78997,3,1,391,9,116.2,1
845,70305,4,1,487,10,113.2,0
846,70305,4,3,233,5,63.2,1
847,70305,3,2,271,10,101.5,0
848,70305,3,4,89,10,30.2,0
849,70312,4,1,318,10,96.5,0
850,70312,4,3,262,10,84.1,0
851,70312,3,2,264,10,73.5,0
852,70312,3,4,237,10,67.2,0
853,70319,4,2,299,10,109.4,0
854,70319,4,4,130,2,25.5,0
855,70319,3,1,313,10,77.1,0
856,70319,3,3,115,10,43.1,0
857,83270,12,2,148,9,20.0,0
858,83270,27,1,147,8,20.0,0
859,83277,12,1,165,5,20.0,0
860,83277,27,2,166,6,19.4,0
861,83279,12,1,140,6,20.0,0
862,83279,27,2,141,4,18.4,0
863,83284,12,1,121,6,25.3,0
864,83291,12,1,166,10,42.5,0
865,83291,27,2,170,6,40.1,0
866,83293,12,1,197,10,40.0,0
867,83293,27,2,204,3,37.5,0
868,77863,11,2,154,5,13.5,0
869,77863,2,1,180,7,19.3,0
870,77870,11,2,95,10,13.5,0
871,77870,2,1,201,7,20.0,0
872,77873,11,1,116,10,27.3,0
873,77873,2,2,117,2,16.4,0
874,77880,11,2,215,2,42.3,0
875,77880,2,1,211,10,46.2,0
876,77887,11,2,218,10,45.5,0
877,77887,2,1,296,8,50.0,0
878,77894,11,2,408,10,108.4,0
879,77894,2,1,245,10,67.4,0
880,77894,2,3,131,10,34.1,0
881,77898,11,1,55,10,23.2,0
882,77898,11,3,176,10,36.5,0
883,77898,2,2,153,10,34.5,0
884,77898,2,4,80,3,12.0,0
885,77998,13,1,239,7,30.0,0
886,77998,6,2,200,9,30.0,0
887,78005,13,2,296,3,46.2,0
888,78005,6,1,291,10,49.5,0
889,78012,13,1,98,10,31.4,0
890,78012,6,2,99,1,15.1,0
891,78019,13,1,134,9,20.0,0
892,78019,6,2,137,5,18.4,0
893,78026,13,1,72,2,11.0,0
894,78033,13,2,95,5,14.4,0
895,78033,6,1,110,10,19.2,0
896,76528,9,2,151,10,19.2,0
897,76528,4,1,179,10,19.3,0
898,76535,9,2,194,7,19.0,0
899,76535,4,1,193,6,20.0,0
900,76549,9,1,315,10,49.4,0
901,76549,4,2,317,3,44.0,0
902,76556,9,2,202,10,40.2,0
903,76556,4,1,270,10,44.4,0
904,76563,9,2,254,4,37.4,0
905,76563,4,1,304,7,50.0,0
906,76570,9,1,312,5,39.0,0
907,76570,4,2,126,10,24.4,0
908,76577,9,1,309,10,49.2,0
909,76577,4,2,165,2,20.4,0
910,91778,4,2,104,10,51.2,0
911,91778,4,4,238,10,58.4,0
912,91778,2,1,150,10,49.4,0
913,91778,2,3,487,6,134.3,1
914,108903,279,1,240,10,43.2,0
915,108903,2,2,257,5,46.0,0
916,91787,4,2,337,10,87.3,0
917,91787,4,4,19,NULL,3.2,0
918,91787,2,1,180,10,44.1,0
919,91787,2,3,175,10,36.5,0
920,91796,4,1,445,10,117.1,0
921,91796,4,3,89,7,18.0,1
922,91796,2,2,260,10,78.5,0
923,91796,2,4,8,NULL,2.1,0
924,91805,4,1,474,10,122.4,0
925,91805,4,3,234,10,83.4,0
926,91805,2,2,369,10,119.3,0
927,91805,2,4,155,10,79.1,0
928,91814,4,2,181,10,51.0,0
929,91814,4,4,162,4,27.0,0
930,91814,2,1,185,10,72.2,0
931,91814,2,3,157,10,39.5,0
932,92012,4,2,204,8,33.3,0
933,92012,3,1,203,10,46.4,0
934,92021,4,1,163,10,35.0,0
935,92021,3,2,169,1,26.3,0
936,92030,4,1,140,10,31.5,0
937,92030,3,2,143,2,26.5,0
938,92039,4,1,93,4,7.0,0
939,92039,3,2,64,9,7.0,0
940,92048,4,1,147,9,20.0,0
941,92048,3,2,134,10,19.4,0
942,92057,4,2,118,3,11.2,0
943,92057,3,1,117,10,18.1,0
944,109309,286,1,136,10,36.4,0
945,109309,286,3,313,5,68.0,1
