id,teamId,teamName,teamSName,countryName,category,playerId,playerName,battingStyle,bowlingStyle,role
94,27,Ireland,IRE,Ireland,"Test Teams",19178,"Graham Hume","Left-hand bat","Right-arm fast-medium",BOWLER
95,27,Ireland,IRE,Ireland,"Test Teams",1428460,"Gavin Hoey","Right-hand bat","Right-arm legbreak",BOWLER
96,3,Pakistan,PAK,Pakistan,"Test Teams",8364,Imam-ul-Haq,"Left-hand bat",NULL,BATSMEN
97,3,Pakistan,PAK,Pakistan,"Test Teams",15847,"Muhammad Hurraira","Right-hand bat","Right-arm offbreak",BATSMEN
98,3,Pakistan,PAK,Pakistan,"Test Teams",8359,"Babar Azam","Right-hand bat","Right-arm offbreak",BATSMEN
99,3,Pakistan,PAK,Pakistan,"Test Teams",9545,"Shan Masood","Left-hand bat","Right-arm medium",BATSMEN
100,3,Pakistan,PAK,Pakistan,"Test Teams",14241,"Saim Ayub","Left-hand bat","Right-arm offbreak",BATSMEN
101,3,Pakistan,PAK,Pakistan,"Test Teams",10863,"Fakhar Zaman","Left-hand bat","Left-arm orthodox",BATSMEN
102,3,Pakistan,PAK,Pakistan,"Test Teams",12565,"Khushdil Shah","Left-hand bat","Left-arm orthodox",BATSMEN
103,3,Pakistan,PAK,Pakistan,"Test Teams",41113,"Hasan Nawaz","Right-hand bat","Right-arm offbreak",BATSMEN
104,3,Pakistan,PAK,Pakistan,"Test Teams",12139,"Abdullah Shafique","Right-hand bat","Right-arm offbreak",BATSMEN
105,3,Pakistan,PAK,Pakistan,"Test Teams",37572,"Tayyab Tahir","Right-hand bat","Right-arm legbreak",BATSMEN
106,3,Pakistan,PAK,Pakistan,"Test Teams",13239,"Omair Yousuf","Right-hand bat",NULL,BATSMEN
107,3,Pakistan,PAK,Pakistan,"Test Teams",1433121,"Abdul Samad","Right-hand bat",NULL,BATSMEN
108,3,Pakistan,PAK,Pakistan,"Test Teams",9812,"Saud Shakeel","Left-hand bat","Left-arm orthodox","ALL ROUNDER"
109,3,Pakistan,PAK,Pakistan,"Test Teams",9807,"Kamran Ghulam","Right-hand bat","Left-arm orthodox","ALL ROUNDER"
110,3,Pakistan,PAK,Pakistan,"Test Teams",10101,"Salman Agha","Right-hand bat","Right-arm offbreak","ALL ROUNDER"
111,3,Pakistan,PAK,Pakistan,"Test Teams",15460,"Irfan Khan","Right-hand bat","Right-arm fast-medium","ALL ROUNDER"
112,3,Pakistan,PAK,Pakistan,"Test Teams",9804,"Hussain Talat","Left-hand bat","Right-arm medium","ALL ROUNDER"
113,3,Pakistan,PAK,Pakistan,"Test Teams",14545,"Noman Ali","Left-hand bat","Left-arm orthodox","ALL ROUNDER"
114,3,Pakistan,PAK,Pakistan,"Test Teams",11265,"Faheem Ashraf","Left-hand bat","Right-arm medium","ALL ROUNDER"
115,3,Pakistan,PAK,Pakistan,"Test Teams",11186,"Shadab Khan","Right-hand bat","Right-arm legbreak","ALL ROUNDER"
116,3,Pakistan,PAK,Pakistan,"Test Teams",55256,"Jahandad Khan","Left-hand bat","Left-arm fast-medium","ALL ROUNDER"
117,3,Pakistan,PAK,Pakistan,"Test Teams",13192,"Rohail Nazir","Right-hand bat",NULL,"WICKET KEEPER"
118,3,Pakistan,PAK,Pakistan,"Test Teams",9468,"Mohammad Rizwan","Right-hand bat",NULL,"WICKET KEEPER"
119,3,Pakistan,PAK,Pakistan,"Test Teams",13625,"Sahibzada Farhan","Right-hand bat",NULL,"WICKET KEEPER"
120,3,Pakistan,PAK,Pakistan,"Test Teams",15038,"Mohammad Haris","Right-hand bat","Right-arm offbreak","WICKET KEEPER"
121,3,Pakistan,PAK,Pakistan,"Test Teams",19013,"Usman Khan","Right-hand bat","Right-arm offbreak","WICKET KEEPER"
122,3,Pakistan,PAK,Pakistan,"Test Teams",12555,"Abrar Ahmed","Right-hand bat","Right-arm legbreak",BOWLER
123,3,Pakistan,PAK,Pakistan,"Test Teams",19066,"Sajid Khan","Right-hand bat","Right-arm offbreak",BOWLER
124,3,Pakistan,PAK,Pakistan,"Test Teams",35250,"Mohammad Ali","Right-hand bat","Right-arm fast-medium",BOWLER
125,3,Pakistan,PAK,Pakistan,"Test Teams",19627,"Khurram Shahzad","Right-hand bat","Right-arm medium",BOWLER
126,3,Pakistan,PAK,Pakistan,"Test Teams",1450089,"Kashif Ali","Right-hand bat","Right-arm medium",BOWLER
127,3,Pakistan,PAK,Pakistan,"Test Teams",14561,"Haris Rauf","Right-hand bat","Right-arm fast",BOWLER
128,3,Pakistan,PAK,Pakistan,"Test Teams",14247,"Naseem Shah","Right-hand bat","Right-arm fast",BOWLER
129,3,Pakistan,PAK,Pakistan,"Test Teams",11320,"Hasan Ali","Right-hand bat","Right-arm fast-medium",BOWLER
130,3,Pakistan,PAK,Pakistan,"Test Teams",15034,"Abbas Afridi","Right-hand bat","Right-arm fast-medium",BOWLER
131,3,Pakistan,PAK,Pakistan,"Test Teams",15751,"Akif Javed","Right-hand bat","Left-arm fast-medium",BOWLER
132,3,Pakistan,PAK,Pakistan,"Test Teams",15040,"Mohammad Wasim Jr","Right-hand bat","Right-arm fast-medium",BOWLER
133,3,Pakistan,PAK,Pakistan,"Test Teams",41169,"Sufiyan Muqeem","Left-hand bat","Left-arm wrist-spin",BOWLER
134,3,Pakistan,PAK,Pakistan,"Test Teams",12160,"Shaheen Afridi","Left-hand bat","Left-arm fast-medium",BOWLER
135,3,Pakistan,PAK,Pakistan,"Test Teams",14248,"Mohammad Hasnain","Right-hand bat","Right-arm fast-medium",BOWLER
136,4,Australia,AUS,Australia,"Test Teams",2250,"Steven Smith","Right-hand bat","Right-arm legbreak",BATSMEN
137,4,Australia,AUS,Australia,"Test Teams",10182,"Marnus Labuschagne","Right-hand bat","Right-arm legbreak",BATSMEN
138,4,Australia,AUS,Australia,"Test Teams",8497,"Travis Head","Left-hand bat","Right-arm offbreak",BATSMEN
139,4,Australia,AUS,Australia,"Test Teams",6635,"Usman Khawaja","Left-hand bat","Right-arm offbreak",BATSMEN
140,4,Australia,AUS,Australia,"Test Teams",9456,"Matthew Short","Right-hand bat","Right-arm offbreak",BATSMEN
141,4,Australia,AUS,Australia,"Test Teams",12225,"Cameron Green","Right-hand bat","Right-arm fast-medium","ALL ROUNDER"
142,4,Australia,AUS,Australia,"Test Teams",52495,"Sam Konstas","Right-hand bat","Right-arm offbreak","ALL ROUNDER"
143,4,Australia,AUS,Australia,"Test Teams",8646,"Beau Webster","Right-hand bat","Right-arm medium","ALL ROUNDER"
144,4,Australia,AUS,Australia,"Test Teams",13170,"Aaron Hardie","Right-hand bat","Right-arm fast-medium","ALL ROUNDER"
