match_id,innings_id,team_id,team_name,bowler_id,bowler_name,overs,maidens,runs,wickets,economy,no_balls,wides,dots,balls,bowling_position,venue_ground,venue_city,venue,start_date
38632,1,5,"Sri Lanka",8422,Shanaka,2,0,19,1,9.5,0,1,0,20,6,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,1,5,"Sri Lanka",10469,Vandersay,4,0,34,0,8.5,0,2,0,40,5,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,1,5,"Sri Lanka",10928,"Lahiru Kumara",4,0,43,1,10.8,0,1,0,40,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,1,5,"Sri Lanka",8393,Chameera,4,0,42,0,10.5,0,0,0,40,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,2,2,India,7910,"Yuzvendra Chahal",3,0,11,1,3.7,0,0,0,30,4,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,2,2,India,9427,"Deepak Hooda",3,0,24,0,8,0,1,0,30,7,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,2,2,India,8175,"Harshal Patel",2,0,10,0,5,0,0,0,20,3,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,2,2,India,587,"Ravindra Jadeja",4,0,28,1,7,0,0,0,40,6,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,2,2,India,10917,"Venkatesh Iyer",3,0,36,2,12,0,1,0,30,5,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,2,2,India,9311,"Jasprit  Bumrah",3,0,19,0,6.3,0,0,0,30,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38632,2,2,India,1726,"Bhuvneshwar Kumar",2,0,9,2,4.5,0,0,0,20,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","2022-02-24 19:00:00"
38637,1,2,India,7910,Chahal,4,0,27,1,6.8,0,0,0,40,4,"Himachal Pradesh Cricket Association Stadium",Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","2022-02-26 19:00:00"
38637,1,2,India,8175,"Harshal Patel",4,0,52,1,13,0,1,0,40,3,"Himachal Pradesh Cricket Association Stadium",Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","2022-02-26 19:00:00"
38637,1,2,India,587,"Ravindra Jadeja",4,0,37,1,9.2,0,0,0,40,5,"Himachal Pradesh Cricket Association Stadium",Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","2022-02-26 19:00:00"
38637,1,2,India,9311,Bumrah,4,0,24,1,6,0,2,0,40,2,"Himachal Pradesh Cricket Association Stadium",Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","2022-02-26 19:00:00"
38637,1,2,India,1726,Bhuvneshwar,4,0,36,1,9,0,1,0,40,1,"Himachal Pradesh Cricket Association Stadium",Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","2022-02-26 19:00:00"
38637,2,5,"Sri Lanka",12131,"Praveen Jayawickrama",2,0,19,0,9.5,0,0,0,20,4,"Himachal Pradesh Cricket Association Stadium",Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","2022-02-26 19:00:00"
38637,2,5,"Sri Lanka",10928,"Lahiru Kumara",3,0,31,2,10.3,0,1,0,30,3,"Himachal Pradesh Cricket Association Stadium",Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","2022-02-26 19:00:00"
38637,2,5,"Sri Lanka",8422,"Dasun Shanaka",2,0,24,0,12,0,3,0,20,6,"Himachal Pradesh Cricket Association Stadium",Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","2022-02-26 19:00:00"
