teamId,teamName,teamSName,countryName,category,playerId,playerName,battingStyle,bowlingStyle,role,Matches_Test_bat,Matches_ODI_bat,Matches_T20_bat,Innings_Test_bat,Innings_ODI_bat,Innings_T20_bat,Runs_Test_bat,Runs_ODI_bat,Runs_T20_bat,Balls_Test_bat,Balls_ODI_bat,Balls_T20_bat,Highest_Test_bat,Highest_ODI_bat,Highest_T20_bat,Average_Test_bat,Average_ODI_bat,Average_T20_bat,SR_Test_bat,SR_ODI_bat,SR_T20_bat,"Not Out_Test_bat","Not Out_ODI_bat","Not Out_T20_bat",Ducks_Test_bat,Ducks_ODI_bat,Ducks_T20_bat,50s_Test_bat,50s_ODI_bat,50s_T20_bat,100s_Test_bat,100s_ODI_bat,100s_T20_bat,Matches_Test_bowl,Matches_ODI_bowl,Matches_T20_bowl,Matches_IPL_bowl,Innings_Test_bowl,Innings_ODI_bowl,Innings_T20_bowl,Balls_Test_bowl,Balls_ODI_bowl,Balls_T20_bowl,Runs_Test_bowl,Runs_ODI_bowl,Runs_T20_bowl,Maidens_Test_bowl,Maidens_ODI_bowl,Maidens_T20_bowl,Wickets_Test_bowl,Wickets_ODI_bowl,Wickets_T20_bowl,Avg_Test_bowl,Avg_ODI_bowl,Avg_T20_bowl,Eco_Test_bowl,Eco_ODI_bowl,Eco_T20_bowl,SR_Test_bowl,SR_ODI_bowl,SR_T20_bowl,5w_Test_bowl,5w_ODI_bowl,5w_T20_bowl
9,England,ENG,England,"Test Teams",8022,"Olly Stone","Right-hand bat","Right-arm fast",BOWLER,5,10,1,10,6,1,102,24,0,234,35,1,20,9,0,11.33,8.00,0.00,43.59,68.58,0.00,1,3,0,2,0,1,0,0,0,0,0,0,5,10,1,0,9,9,1,610,394,24,400,399,36,17,2,0,17,9,0,23.53,44.33,0.00,3.93,6.08,9.00,35.88,43.78,0.00,0,0,0
96,Afghanistan,AFG,Afghanistan,"Test Teams",8030,"Gulbadin Naib","Right-hand bat","Right-arm fast-medium","ALL ROUNDER",0,89,74,0,78,64,0,1332,945,0,1767,775,0,82,57,0.00,19.88,20.54,0.00,75.39,121.94,0,11,18,0,7,7,0,5,3,0,0,0,0,89,74,2,0,80,44,0,2883,649,0,2675,860,0,12,1,0,74,33,0.00,36.15,26.06,0.00,5.57,7.95,0.00,38.96,19.67,0,1,0
4,Australia,AUS,Australia,"Test Teams",8095,"Pat Cummins","Right-hand bat","Right-arm fast",BOWLER,71,90,57,105,59,27,1548,537,158,3275,703,133,64,37,28,16.83,14.51,10.53,47.27,76.39,118.80,13,22,12,13,8,4,3,0,0,0,0,0,71,90,57,72,132,90,57,14187,4683,1254,6829,4116,1556,514,46,4,309,143,66,22.10,28.78,23.58,2.89,5.27,7.44,45.91,32.75,19.00,14,1,0
10,"West Indies",WI,"West Indies","Test Teams",8101,"Johnson Charles","Right-hand bat",NULL,"WICKET KEEPER",0,58,64,0,58,63,0,1537,1468,0,1802,1135,0,130,118,0.00,26.50,23.30,0.00,85.30,129.34,0,0,0,0,9,7,0,7,5,0,2,1,0,58,64,0,0,1,0,0,5,0,0,12,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
4,Australia,AUS,Australia,"Test Teams",8136,"Sean Abbott","Right-hand bat","Right-arm fast-medium",BOWLER,0,29,25,0,21,11,0,374,37,0,388,41,0,69,12,0.00,19.68,6.17,0.00,96.40,90.25,0,2,5,0,1,2,0,2,0,0,0,0,0,29,25,3,0,29,25,0,1331,487,0,1271,741,0,9,1,0,35,30,0.00,36.31,24.70,0.00,5.73,9.13,0.00,38.03,16.23,0,0,0
13,"New Zealand",NZ,"New Zealand","Test Teams",8216,"Tom Latham","Left-hand bat","Right-arm medium","WICKET KEEPER",88,157,26,158,144,23,5835,4361,516,12283,5090,474,264,145,65,38.39,34.61,25.80,47.51,85.68,108.87,6,18,3,13,14,1,31,26,3,13,8,0,88,157,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
6,Bangladesh,BAN,Bangladesh,"Test Teams",8219,"Mominul Haque","Left-hand bat","Left-arm orthodox",BATSMEN,73,28,6,136,26,4,4627,557,60,8544,749,50,181,60,26,36.72,22.28,20.00,54.16,74.37,120.00,10,1,1,18,1,0,22,3,0,13,0,0,73,28,6,0,49,12,2,949,234,18,600,190,32,11,1,0,11,7,0,54.55,27.14,0.00,3.79,4.87,10.67,86.27,33.43,0.00,0,0,0
6,Bangladesh,BAN,Bangladesh,"Test Teams",8233,"Soumya Sarkar","Left-hand bat","Right-arm medium",BATSMEN,16,76,87,30,71,86,831,2198,1462,1442,2282,1197,149,169,68,27.70,32.32,17.83,57.63,96.32,122.14,0,3,4,2,9,13,4,13,5,1,3,0,16,76,87,0,12,27,28,508,558,288,336,567,451,3,1,0,4,16,12,84.00,35.44,37.58,3.97,6.10,9.40,127.00,34.88,24.00,0,0,0
6,Bangladesh,BAN,Bangladesh,"Test Teams",8237,"Anamul Haque","Right-hand bat",NULL,"WICKET KEEPER",8,49,20,15,46,20,162,1352,445,399,1808,395,39,120,58,10.80,29.39,24.72,40.61,74.78,112.66,0,0,2,3,6,1,0,5,1,0,3,0,8,49,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
6,Bangladesh,BAN,Bangladesh,"Test Teams",8253,"Taijul Islam","Left-hand bat","Left-arm orthodox",BOWLER,55,20,2,94,12,1,841,110,0,2238,174,1,47,39,0,10.13,10.00,0.00,37.58,63.22,0.00,11,1,1,13,1,0,0,0,0,0,0,0,55,20,2,0,98,20,2,14585,1050,42,7424,805,58,425,9,0,237,31,1,31.32,25.97,58.00,3.05,4.60,8.29,61.54,33.87,42.00,17,1,0
2,India,IND,India,"Test Teams",8257,"Karun Nair","Left-hand bat","Right-arm offbreak",BATSMEN,10,2,0,15,2,0,579,46,0,896,88,0,303,39,0,41.36,23.00,0.00,64.63,52.28,0.00,1,0,0,2,0,0,1,0,0,1,0,0,10,2,0,84,2,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0,0,0
2,India,IND,India,"Test Teams",8271,"Sanju Samson","Right-hand bat",NULL,"WICKET KEEPER",0,16,42,0,14,38,0,510,861,0,512,565,0,108,111,0.00,56.67,25.32,0.00,99.61,152.39,0,5,4,0,0,6,0,3,2,0,1,3,0,16,42,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
96,Afghanistan,AFG,Afghanistan,"Test Teams",8277,"Hashmatullah Shahidi","Left-hand bat","Right-arm offbreak",BATSMEN,10,90,6,19,88,4,757,2435,48,1596,3614,55,246,97,36,50.47,33.36,24.00,47.44,67.38,87.28,4,15,2,0,6,0,2,22,0,2,0,0,10,90,6,0,5,2,0,84,18,0,59,25,0,0,0,0,0,0,0,0.00,0.00,0.00,4.21,8.33,0.00,0.00,0.00,0.00,0,0,0
96,Afghanistan,AFG,Afghanistan,"Test Teams",8278,"Afsar Zazai","Right-hand bat",NULL,"WICKET KEEPER",8,17,8,13,16,8,348,264,141,672,487,172,113,60,48,29.00,17.60,17.63,51.79,54.21,81.98,1,1,0,1,3,0,0,2,0,1,0,0,8,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2,India,IND,India,"Test Teams",8292,"Kuldeep Yadav","Left-hand bat","Left-arm wrist-spin",BOWLER,13,113,40,17,42,7,199,207,46,698,407,59,40,19,23,13.27,9.86,11.50,28.52,50.86,77.97,2,21,3,4,3,2,0,0,0,0,0,0,13,113,40,98,24,110,39,2093,5754,860,1241,4786,971,46,30,2,56,181,69,22.16,26.44,14.07,3.56,4.99,6.77,37.38,31.79,12.46,4,2,2
