match_id,innings_id,team_id,team_name,player_id,player_name,runs,balls,fours,sixes,strike_rate,position,out_desc,is_captain,is_keeper,start_date
38617,2,10,"West Indies",13959,"Hayden Walsh",0,3,0,0,0,11,"not out",0,0,"2022-02-20 19:00:00"
38622,1,2,India,2195,"Mayank Agarwal",33,49,5,0,67.35,1,"lbw b Embuldeniya",0,0,"2022-03-04 09:30:00"
38622,1,2,India,576,Rohit,29,28,6,0,103.57,2,"c Lakmal b Lahiru Kumara",1,0,"2022-03-04 09:30:00"
38622,1,2,India,8424,"Hanuma Vihari",58,128,5,0,45.31,3,"b Vishwa Fernando",0,0,"2022-03-04 09:30:00"
38622,1,2,India,1413,Kohli,45,76,5,0,59.21,4,"b Embuldeniya",0,0,"2022-03-04 09:30:00"
38622,1,2,India,10744,Pant,96,97,9,4,98.97,5,"b Lakmal",0,1,"2022-03-04 09:30:00"
38622,1,2,India,9428,"Shreyas Iyer",27,48,3,0,56.25,6,"lbw b Dhananjaya de Silva",0,0,"2022-03-04 09:30:00"
38622,1,2,India,587,"Ravindra Jadeja",175,228,17,3,76.75,7,"not out",0,0,"2022-03-04 09:30:00"
38622,1,2,India,1593,Ashwin,61,82,8,0,74.39,8,"c Dickwella b Lakmal",0,0,"2022-03-04 09:30:00"
38622,1,2,India,8182,"Jayant Yadav",2,18,0,0,11.11,9,"c Thirimanne b Vishwa Fernando",0,0,"2022-03-04 09:30:00"
38622,1,2,India,7909,Shami,20,34,3,0,58.82,10,"not out",0,0,"2022-03-04 09:30:00"
38622,1,2,India,9311,Bumrah,0,0,0,0,0,11,,0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",7952,Karunaratne,28,71,5,0,39.44,1,"lbw b Ravindra Jadeja",1,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",6243,Thirimanne,17,60,1,0,28.33,2,"lbw b Ashwin",0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",13682,"Pathum Nissanka",61,133,11,0,45.86,3,"not out",0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",1629,Mathews,22,39,1,1,56.41,4,"lbw b Bumrah",0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",7872,"Dhananjaya de Silva",1,8,0,0,12.5,5,"lbw b Ashwin",0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",10934,Asalanka,29,64,5,0,45.31,6,"lbw b Bumrah",0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",7884,Dickwella,2,10,0,0,20,7,"c Shreyas Iyer b Ravindra Jadeja",0,1,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",1785,Lakmal,0,2,0,0,0,8,"c Ashwin b Ravindra Jadeja",0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",12688,Embuldeniya,0,5,0,0,0,9,"c Mayank Agarwal b Shami",0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",8413,"Vishwa Fernando",0,5,0,0,0,10,"c Rohit b Ravindra Jadeja",0,0,"2022-03-04 09:30:00"
38622,2,5,"Sri Lanka",10928,"Lahiru Kumara",0,1,0,0,0,11,"b Ravindra Jadeja",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",6243,"Lahiru Thirimanne",0,9,0,0,0,1,"c Rohit b Ashwin",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",7952,"Dimuth Karunaratne",27,46,6,0,58.7,2,"c Pant b Shami",1,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",13682,"Pathum Nissanka",6,19,1,0,31.58,3,"c Pant b Ashwin",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",1629,"Angelo Mathews",28,75,2,1,37.33,4,"lbw b Ravindra Jadeja",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",7872,"Dhananjaya de Silva",30,58,5,0,51.72,5,"c Shreyas Iyer b Ravindra Jadeja",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",10934,"Charith Asalanka",20,9,2,2,222.22,6,"c Kohli b Ashwin",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",7884,"Niroshan Dickwella",51,81,9,0,62.96,7,"not out",0,1,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",1785,"Suranga Lakmal",0,3,0,0,0,8,"c Jayant Yadav b Ravindra Jadeja",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",12688,"Lasith Embuldeniya",2,42,0,0,4.76,9,"c Pant b Ravindra Jadeja",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",8413,"Vishwa Fernando",0,5,0,0,0,10,"lbw b Shami",0,0,"2022-03-04 09:30:00"
38622,3,5,"Sri Lanka",10928,"Lahiru Kumara",4,14,1,0,28.57,11,"c Shami b Ashwin",0,0,"2022-03-04 09:30:00"
38627,1,2,India,2195,"Mayank Agarwal",4,7,1,0,57.14,1,"run out (Jayawickrama/Dickwella)",0,0,"2022-03-12 14:00:00"
38627,1,2,India,576,Rohit,15,25,1,1,60,2,"c Dhananjaya de Silva b Embuldeniya",1,0,"2022-03-12 14:00:00"
38627,1,2,India,8424,"Hanuma Vihari",31,81,4,0,38.27,3,"c Dickwella b Jayawickrama",0,0,"2022-03-12 14:00:00"
38627,1,2,India,1413,Kohli,23,48,2,0,47.92,4,"lbw b Dhananjaya de Silva",0,0,"2022-03-12 14:00:00"
38627,1,2,India,10744,Pant,39,26,7,0,150,5,"b Embuldeniya",0,1,"2022-03-12 14:00:00"
38627,1,2,India,9428,"Shreyas Iyer",92,98,10,4,93.88,6,"st Dickwella b Jayawickrama",0,0,"2022-03-12 14:00:00"
38627,1,2,India,587,"Ravindra Jadeja",4,14,1,0,28.57,7,"c Thirimanne b Embuldeniya",0,0,"2022-03-12 14:00:00"
38627,1,2,India,1593,Ashwin,13,33,1,0,39.39,8,"c Dickwella b Dhananjaya de Silva",0,0,"2022-03-12 14:00:00"
